adjectives,answer,image_file,noun_lemma,people,qa_id,question,question_phrase,relevant,type
brown,brown jacket found,713270.jpg,coat,man,27576,why is man in brown coat standing,brown jacket,1,attribute
brown,no brown jacket found,2275.jpg,coat,man,-27576,why is man in brown coat standing,brown jacket,0,attribute
pink,pink jacket found,713271.jpg,jacket,lady,27606,how come lady in a grey and pink jacket sitting on a wall,pink jacket,1,attribute
pink,no pink jacket found,2382238.jpg,jacket,lady,-27606,how come lady in a grey and pink jacket sitting on a wall,pink jacket,0,attribute
green,green jacket found,713274.jpg,jacket,person,27624,how tall is person in green jacket,green jacket,1,attribute
green,no green jacket found,2315756.jpg,jacket,person,-27624,how tall is person in green jacket,green jacket,0,attribute
black,black pant found,713282.jpg,pant,man,27658,why is man is dressed in black pants,black pant,1,attribute
black,no black pant found,2414837.jpg,pant,man,-27658,why is man is dressed in black pants,black pant,0,attribute
red,red hair found,713283.jpg,hair,man,27678,where is a man with red hair going,red hair,1,attribute
red,no red hair found,2390839.jpg,hair,man,-27678,where is a man with red hair going,red hair,0,attribute
brown,brown pant found,713286.jpg,pant,woman,27684,how tall is young woman has on brown pants,brown pant,1,attribute
brown,no brown pant found,2352428.jpg,pant,woman,-27684,how tall is young woman has on brown pants,brown pant,0,attribute
pink,pink jacket found,713290.jpg,coat,girl,27706,how come young girl in pink coat on skis,pink jacket,1,attribute
pink,no pink jacket found,2365365.jpg,coat,girl,-27706,how come young girl in pink coat on skis,pink jacket,0,attribute
green,green shirt found,713301.jpg,shirt,man,27744,how come man in a green shirt,green shirt,1,attribute
green,no green shirt found,2328939.jpg,shirt,man,-27744,how come man in a green shirt,green shirt,0,attribute
purple,purple shirt found,713317.jpg,shirt,man,27782,why is man in purple shirt sitting in front row,purple shirt,1,attribute
purple,no purple shirt found,2319001.jpg,shirt,man,-27782,why is man in purple shirt sitting in front row,purple shirt,0,attribute
brown,brown hair found,713326.jpg,hair,man,27836,where is man has brown hair,brown hair,1,attribute
brown,no brown hair found,2408045.jpg,hair,man,-27836,where is man has brown hair,brown hair,0,attribute
blue,blue jacket found,713335.jpg,coat,child,27864,who is in a blue coat,blue jacket,1,attribute
blue,no blue jacket found,2407531.jpg,coat,child,-27864,who is in a blue coat,blue jacket,0,attribute
grey,gray hair found,713341.jpg,hair,man,27914,where is man has grey hair,gray hair,1,attribute
grey,no gray hair found,2360799.jpg,hair,man,-27914,where is man has grey hair,gray hair,0,attribute
brown,brown hair found,713341.jpg,hair,man,27920,how tall is man in black shirt has long brown hair,brown hair,1,attribute
brown,no brown hair found,713904.jpg,hair,man,-27920,how tall is man in black shirt has long brown hair,brown hair,0,attribute
"short,brown",short brown hair found,713342.jpg,hair,man,27932,why is man with short brown hair and yellow jacket,short brown hair,1,attribute
"short,brown",no short brown hair found,2337607.jpg,hair,man,-27932,why is man with short brown hair and yellow jacket,short brown hair,0,attribute
gray,gray jacket found,713342.jpg,jacket,person,27940,why is person in orange and gray jacket,gray jacket,1,attribute
gray,no gray jacket found,2344710.jpg,jacket,person,-27940,why is person in orange and gray jacket,gray jacket,0,attribute
pink,pink shirt found,713351.jpg,shirt,woman,28012,how tall is woman in pink shirt smiling,pink shirt,1,attribute
pink,no pink shirt found,2327655.jpg,shirt,woman,-28012,how tall is woman in pink shirt smiling,pink shirt,0,attribute
brown,brown jacket found,713352.jpg,jacket,man,28026,why is man has on a brown jacket,brown jacket,1,attribute
brown,no brown jacket found,2406856.jpg,jacket,man,-28026,why is man has on a brown jacket,brown jacket,0,attribute
black,black pant found,713352.jpg,pant,man,28028,why is man has on black pants,black pant,1,attribute
black,no black pant found,2329772.jpg,pant,man,-28028,why is man has on black pants,black pant,0,attribute
orange,orange shirt found,713359.jpg,shirt,man,28056,what is a man in a orange shirt looking towards,orange shirt,1,attribute
orange,no orange shirt found,2358939.jpg,shirt,man,-28056,what is a man in a orange shirt looking towards,orange shirt,0,attribute
blue,blue shirt found,713360.jpg,shirt,woman,28076,how tall is woman in blue shirt,blue shirt,1,attribute
blue,no blue shirt found,2381929.jpg,shirt,woman,-28076,how tall is woman in blue shirt,blue shirt,0,attribute
white,white shirt found,713369.jpg,shirt,girl,28138,how come girl dressed in white shirt,white shirt,1,attribute
white,no white shirt found,2386302.jpg,shirt,girl,-28138,how come girl dressed in white shirt,white shirt,0,attribute
orange,orange shirt found,713373.jpg,shirt,woman,28150,how big is the orange shirt on woman,orange shirt,1,attribute
orange,no orange shirt found,2348608.jpg,shirt,woman,-28150,how big is the orange shirt on woman,orange shirt,0,attribute
red,red shirt found,713375.jpg,shirt,man,28156,how come man in red shirt,red shirt,1,attribute
red,no red shirt found,2355371.jpg,shirt,man,-28156,how come man in red shirt,red shirt,0,attribute
"short,brown",short brown hair found,713375.jpg,hair,man,28160,where is man with short brown hair,short brown hair,1,attribute
"short,brown",no short brown hair found,2377861.jpg,hair,man,-28160,where is man with short brown hair,short brown hair,0,attribute
black,black shoe found,713375.jpg,shoe,man,28162,what kind of black shoes worn by man,black shoe,1,attribute
black,no black shoe found,2369583.jpg,shoe,man,-28162,what kind of black shoes worn by man,black shoe,0,attribute
grey,gray hair found,713378.jpg,hair,man,28168,how come man with grey hair,gray hair,1,attribute
grey,no gray hair found,2362035.jpg,hair,man,-28168,how come man with grey hair,gray hair,0,attribute
white,white dress found,713379.jpg,dress,woman,28180,why is the person is dressed in a white dress,white dress,1,attribute
white,no white dress found,2370815.jpg,dress,woman,-28180,why is the person is dressed in a white dress,white dress,0,attribute
black,black suit found,713381.jpg,suit,man,28186,how come man has on black suit,black suit,1,attribute
black,no black suit found,2362705.jpg,suit,man,-28186,how come man has on black suit,black suit,0,attribute
black,black suit found,713385.jpg,suit,man,28192,what person wears a black suit,black suit,1,attribute
black,no black suit found,2359267.jpg,suit,man,-28192,what person wears a black suit,black suit,0,attribute
black,black hair found,713385.jpg,hair,man,28194,where is the man has black hair going,black hair,1,attribute
black,no black hair found,2362532.jpg,hair,man,-28194,where is the man has black hair going,black hair,0,attribute
blond,blond hair found,713393.jpg,hair,girl,28214,where is girl with blonde hair looking at her camera,blond hair,1,attribute
blond,no blond hair found,150328.jpg,hair,girl,-28214,where is girl with blonde hair looking at her camera,blond hair,0,attribute
black,black jacket found,713395.jpg,coat,man,28220,how tall is man has on black coat,black jacket,1,attribute
black,no black jacket found,2414350.jpg,coat,man,-28220,how tall is man has on black coat,black jacket,0,attribute
gray,gray hair found,713406.jpg,hair,woman,28268,how tall is woman has gray hair,gray hair,1,attribute
gray,no gray hair found,2342425.jpg,hair,woman,-28268,how tall is woman has gray hair,gray hair,0,attribute
red,red shirt found,713415.jpg,shirt,man,28288,why is man in red shirt,red shirt,1,attribute
red,no red shirt found,2392867.jpg,shirt,man,-28288,why is man in red shirt,red shirt,0,attribute
black,black suit found,713416.jpg,suit,man,28296,how tall is man in a black suit walking,black suit,1,attribute
black,no black suit found,2324730.jpg,suit,man,-28296,how tall is man in a black suit walking,black suit,0,attribute
black,black suit found,713416.jpg,suit,man,28300,why is man in a black suit walking,black suit,1,attribute
black,no black suit found,2344823.jpg,suit,man,-28300,why is man in a black suit walking,black suit,0,attribute
long,long hair found,713423.jpg,hair,woman,28308,where is the woman has long hair going,long hair,1,attribute
long,no long hair found,2402518.jpg,hair,woman,-28308,where is the woman has long hair going,long hair,0,attribute
pink,pink jacket found,713423.jpg,coat,woman,28314,what is a woman has on a pink coat looking at,pink jacket,1,attribute
pink,no pink jacket found,2408236.jpg,coat,woman,-28314,what is a woman has on a pink coat looking at,pink jacket,0,attribute
black,black hair found,713426.jpg,hair,man,28328,why is the person with black hair,black hair,1,attribute
black,no black hair found,2370398.jpg,hair,man,-28328,why is the person with black hair,black hair,0,attribute
black,black shoe found,713426.jpg,shoe,man,28330,what is a man wearing black shoes have,black shoe,1,attribute
black,no black shoe found,1159745.jpg,shoe,man,-28330,what is a man wearing black shoes have,black shoe,0,attribute
red,red shirt found,713441.jpg,shirt,man,28346,why is man wearing a red shirt,red shirt,1,attribute
red,no red shirt found,2325214.jpg,shirt,man,-28346,why is man wearing a red shirt,red shirt,0,attribute
black,black shoe found,713445.jpg,shoe,woman,28384,how come woman in black shoes,black shoe,1,attribute
black,no black shoe found,2350079.jpg,shoe,woman,-28384,how come woman in black shoes,black shoe,0,attribute
orange,orange shirt found,713445.jpg,shirt,woman,28398,why is woman with one arm in an orange shirt,orange shirt,1,attribute
orange,no orange shirt found,2385310.jpg,shirt,woman,-28398,why is woman with one arm in an orange shirt,orange shirt,0,attribute
red,red shirt found,713448.jpg,shirt,boy,28428,what person is in the red shirt plays with a skateboard,red shirt,1,attribute
red,no red shirt found,2333721.jpg,shirt,boy,-28428,what person is in the red shirt plays with a skateboard,red shirt,0,attribute
green,green shirt found,713448.jpg,shirt,boy,28436,why is older boy has a green shirt on,green shirt,1,attribute
green,no green shirt found,2316076.jpg,shirt,boy,-28436,why is older boy has a green shirt on,green shirt,0,attribute
blue,blue jacket found,713456.jpg,coat,woman,28476,how come woman wearing blue coat,blue jacket,1,attribute
blue,no blue jacket found,2338350.jpg,coat,woman,-28476,how come woman wearing blue coat,blue jacket,0,attribute
gray,gray jacket found,713456.jpg,jacket,woman,28478,how come woman dressed in gray jacket,gray jacket,1,attribute
gray,no gray jacket found,2333988.jpg,jacket,woman,-28478,how come woman dressed in gray jacket,gray jacket,0,attribute
white,white shirt found,713461.jpg,shirt,man,28480,why is man wearing white shirt,white shirt,1,attribute
white,no white shirt found,2335355.jpg,shirt,man,-28480,why is man wearing white shirt,white shirt,0,attribute
green,green jacket found,713463.jpg,coat,man,28492,where is a man standing on skis in a green coat going,green jacket,1,attribute
green,no green jacket found,2332964.jpg,coat,man,-28492,where is a man standing on skis in a green coat going,green jacket,0,attribute
green,green jacket found,713463.jpg,coat,man,28498,why is the person in a green coat,green jacket,1,attribute
green,no green jacket found,2334959.jpg,coat,man,-28498,why is the person in a green coat,green jacket,0,attribute
black,black jacket found,713463.jpg,coat,man,28500,what is a man wearing a white and black coat looking towards,black jacket,1,attribute
black,no black jacket found,2317534.jpg,coat,man,-28500,what is a man wearing a white and black coat looking towards,black jacket,0,attribute
gray,gray jacket found,713464.jpg,coat,woman,28504,where is the woman wears a gray coat going,gray jacket,1,attribute
gray,no gray jacket found,2341845.jpg,coat,woman,-28504,where is the woman wears a gray coat going,gray jacket,0,attribute
red,red jacket found,713464.jpg,jacket,person,28518,how come person with red jacket,red jacket,1,attribute
red,no red jacket found,2398561.jpg,jacket,person,-28518,how come person with red jacket,red jacket,0,attribute
red,red jacket found,713464.jpg,jacket,person,28520,why is person with red jacket,red jacket,1,attribute
red,no red jacket found,2411013.jpg,jacket,person,-28520,why is person with red jacket,red jacket,0,attribute
purple,purple shirt found,713469.jpg,shirt,woman,28554,why is woman has on a purple shirt,purple shirt,1,attribute
purple,no purple shirt found,2357398.jpg,shirt,woman,-28554,why is woman has on a purple shirt,purple shirt,0,attribute
orange,orange shirt found,713481.jpg,shirt,man,28606,where is man in orange shirt shopping,orange shirt,1,attribute
orange,no orange shirt found,2411762.jpg,shirt,man,-28606,where is man in orange shirt shopping,orange shirt,0,attribute
white,white sneaker found,713485.jpg,sneaker,man,28618,what person is in a pair of white sneakers,white sneaker,1,attribute
white,no white sneaker found,2325991.jpg,sneaker,man,-28618,what person is in a pair of white sneakers,white sneaker,0,attribute
orange,orange shirt found,713491.jpg,shirt,man,28638,how tall is man in an orange shirt,orange shirt,1,attribute
orange,no orange shirt found,2352536.jpg,shirt,man,-28638,how tall is man in an orange shirt,orange shirt,0,attribute
gray,gray pant found,713494.jpg,pant,person,28644,where is person has on gray pants,gray pant,1,attribute
gray,no gray pant found,2345347.jpg,pant,person,-28644,where is person has on gray pants,gray pant,0,attribute
orange,orange shirt found,713495.jpg,shirt,boy,28664,where is little boy in an orange shirt,orange shirt,1,attribute
orange,no orange shirt found,2345417.jpg,shirt,boy,-28664,where is little boy in an orange shirt,orange shirt,0,attribute
orange,orange shirt found,713495.jpg,shirt,boy,28682,how come boy in orange shirt eating,orange shirt,1,attribute
orange,no orange shirt found,2386867.jpg,shirt,boy,-28682,how come boy in orange shirt eating,orange shirt,0,attribute
black,black jacket found,713498.jpg,jacket,woman,28720,where is woman is in a black jacket,black jacket,1,attribute
black,no black jacket found,2381570.jpg,jacket,woman,-28720,where is woman is in a black jacket,black jacket,0,attribute
blue,blue hat found,713501.jpg,hat,man,28734,how tall is man in blue hat,blue hat,1,attribute
blue,no blue hat found,2360366.jpg,hat,man,-28734,how tall is man in blue hat,blue hat,0,attribute
dark,dark hair found,713501.jpg,hair,boy,28740,why is boy has dark hair,dark hair,1,attribute
dark,no dark hair found,2371748.jpg,hair,boy,-28740,why is boy has dark hair,dark hair,0,attribute
red,red hat found,713505.jpg,hat,man,28750,how come man in red hat,red hat,1,attribute
red,no red hat found,2412219.jpg,hat,man,-28750,how come man in red hat,red hat,0,attribute
brown,brown jacket found,713506.jpg,jacket,man,28754,where is a man has on brown jacket with words on the back going,brown jacket,1,attribute
brown,no brown jacket found,2404371.jpg,jacket,man,-28754,where is a man has on brown jacket with words on the back going,brown jacket,0,attribute
yellow,yellow shirt found,713510.jpg,shirt,person,28780,where is a person dressed in a yellow shirt going,yellow shirt,1,attribute
yellow,no yellow shirt found,1563.jpg,shirt,person,-28780,where is a person dressed in a yellow shirt going,yellow shirt,0,attribute
brown,brown shirt found,713514.jpg,shirt,woman,28792,how come woman in brown shirt taking a picture,brown shirt,1,attribute
brown,no brown shirt found,2381780.jpg,shirt,woman,-28792,how come woman in brown shirt taking a picture,brown shirt,0,attribute
plaid,plaid shirt found,713527.jpg,shirt,man,28836,what is a man in plaid shirt cooking doing,plaid shirt,1,attribute
plaid,no plaid shirt found,713020.jpg,shirt,man,-28836,what is a man in plaid shirt cooking doing,plaid shirt,0,attribute
brown,brown shirt found,713530.jpg,shirt,person,28842,why is person dressed in a brown shirt,brown shirt,1,attribute
brown,no brown shirt found,2394225.jpg,shirt,person,-28842,why is person dressed in a brown shirt,brown shirt,0,attribute
dark,dark pant found,713535.jpg,pant,person,28856,how tall is person has on dark pants,dark pant,1,attribute
dark,no dark pant found,357.jpg,pant,person,-28856,how tall is person has on dark pants,dark pant,0,attribute
gray,gray shirt found,713535.jpg,shirt,man,28862,who is dressed in a gray shirt,gray shirt,1,attribute
gray,no gray shirt found,2367867.jpg,shirt,man,-28862,who is dressed in a gray shirt,gray shirt,0,attribute
grey,gray pant found,713535.jpg,pant,man,28866,how tall is man has grey pants,gray pant,1,attribute
grey,no gray pant found,1159339.jpg,pant,man,-28866,how tall is man has grey pants,gray pant,0,attribute
blue,blue jacket found,713536.jpg,jacket,person,28880,where is a person dressed in a blue jacket going,blue jacket,1,attribute
blue,no blue jacket found,713352.jpg,jacket,person,-28880,where is a person dressed in a blue jacket going,blue jacket,0,attribute
white,white jacket found,713536.jpg,coat,woman,28884,why is the person wears a white coat,white jacket,1,attribute
white,no white jacket found,2325105.jpg,coat,woman,-28884,why is the person wears a white coat,white jacket,0,attribute
white,white jacket found,713536.jpg,coat,woman,28886,how big is the white coat on a woman,white jacket,1,attribute
white,no white jacket found,2387236.jpg,coat,woman,-28886,how big is the white coat on a woman,white jacket,0,attribute
purple,purple shirt found,713538.jpg,shirt,man,28898,how tall is man with purple shirt,purple shirt,1,attribute
purple,no purple shirt found,2326057.jpg,shirt,man,-28898,how tall is man with purple shirt,purple shirt,0,attribute
white,white shirt found,713542.jpg,shirt,man,28916,why is the person wearing a white shirt,white shirt,1,attribute
white,no white shirt found,2360077.jpg,shirt,man,-28916,why is the person wearing a white shirt,white shirt,0,attribute
purple,purple shirt found,713546.jpg,shirt,man,28938,why is man dressed in a purple shirt,purple shirt,1,attribute
purple,no purple shirt found,2402206.jpg,shirt,man,-28938,why is man dressed in a purple shirt,purple shirt,0,attribute
purple,purple shirt found,713546.jpg,shirt,man,28942,how tall is man in a purple shirt,purple shirt,1,attribute
purple,no purple shirt found,2376765.jpg,shirt,man,-28942,how tall is man in a purple shirt,purple shirt,0,attribute
green,green jacket found,713550.jpg,jacket,woman,28984,how come woman in green jacket carrying a bag,green jacket,1,attribute
green,no green jacket found,152.jpg,jacket,woman,-28984,how come woman in green jacket carrying a bag,green jacket,0,attribute
striped,striped shirt found,713562.jpg,shirt,boy,29030,why is boy has a striped shirt,striped shirt,1,attribute
striped,no striped shirt found,2354963.jpg,shirt,boy,-29030,why is boy has a striped shirt,striped shirt,0,attribute
green,green shirt found,713573.jpg,shirt,person,29094,why is person is wearing a green shirt,green shirt,1,attribute
green,no green shirt found,2378290.jpg,shirt,person,-29094,why is person is wearing a green shirt,green shirt,0,attribute
plaid,plaid shirt found,713578.jpg,shirt,man,29144,why is man has on a plaid shirt,plaid shirt,1,attribute
plaid,no plaid shirt found,1159400.jpg,shirt,man,-29144,why is man has on a plaid shirt,plaid shirt,0,attribute
brown,brown pant found,713586.jpg,pant,person,29186,where is a person wearing brown pants going,brown pant,1,attribute
brown,no brown pant found,2320774.jpg,pant,person,-29186,where is a person wearing brown pants going,brown pant,0,attribute
blue,blue hat found,713588.jpg,hat,man,29204,what kind of tall red white and blue hat on the man,blue hat,1,attribute
blue,no blue hat found,2380913.jpg,hat,man,-29204,what kind of tall red white and blue hat on the man,blue hat,0,attribute
white,white pant found,713588.jpg,pant,man,29206,how big is the red and white pants on a man,white pant,1,attribute
white,no white pant found,2332587.jpg,pant,man,-29206,how big is the red and white pants on a man,white pant,0,attribute
yellow,yellow jacket found,713591.jpg,jacket,man,29246,how come man dressed in a yellow jacket,yellow jacket,1,attribute
yellow,no yellow jacket found,2341057.jpg,jacket,man,-29246,how come man dressed in a yellow jacket,yellow jacket,0,attribute
yellow,yellow jacket found,713591.jpg,jacket,man,29252,what size is the yellow jacket on the man,yellow jacket,1,attribute
yellow,no yellow jacket found,2343639.jpg,jacket,man,-29252,what size is the yellow jacket on the man,yellow jacket,0,attribute
gray,gray shirt found,713593.jpg,shirt,woman,29256,how tall is woman in a gray shirt on the back row,gray shirt,1,attribute
gray,no gray shirt found,2397014.jpg,shirt,woman,-29256,how tall is woman in a gray shirt on the back row,gray shirt,0,attribute
brown,brown pant found,713603.jpg,pant,man,29300,how tall is man is wearing brown pants,brown pant,1,attribute
brown,no brown pant found,2353618.jpg,pant,man,-29300,how tall is man is wearing brown pants,brown pant,0,attribute
purple,purple shirt found,713605.jpg,shirt,man,29306,what person is dressed in a purple shirt,purple shirt,1,attribute
purple,no purple shirt found,2357331.jpg,shirt,man,-29306,what person is dressed in a purple shirt,purple shirt,0,attribute
yellow,yellow jacket found,713610.jpg,coat,person,29326,how come person in yellow coat,yellow jacket,1,attribute
yellow,no yellow jacket found,2380970.jpg,coat,person,-29326,how come person in yellow coat,yellow jacket,0,attribute
blue,blue pant found,713610.jpg,pant,person,29342,where is person in a yellow jacket and blue pants,blue pant,1,attribute
blue,no blue pant found,2317006.jpg,pant,person,-29342,where is person in a yellow jacket and blue pants,blue pant,0,attribute
black,black pant found,713610.jpg,pant,person,29346,how tall is person in a white shirt and black pants,black pant,1,attribute
black,no black pant found,2315676.jpg,pant,person,-29346,how tall is person in a white shirt and black pants,black pant,0,attribute
black,black hat found,713612.jpg,hat,woman,29362,where is woman in black hat,black hat,1,attribute
black,no black hat found,713652.jpg,hat,woman,-29362,where is woman in black hat,black hat,0,attribute
white,white hat found,713614.jpg,hat,man,29374,where is man has on white hat,white hat,1,attribute
white,no white hat found,2390504.jpg,hat,man,-29374,where is man has on white hat,white hat,0,attribute
white,white jacket found,713615.jpg,coat,woman,29382,"how tall is woman in blue , black and white coat dressed in skis",white jacket,1,attribute
white,no white jacket found,2378745.jpg,coat,woman,-29382,"how tall is woman in blue , black and white coat dressed in skis",white jacket,0,attribute
white,white shirt found,713616.jpg,shirt,man,29402,who is in a white shirt,white shirt,1,attribute
white,no white shirt found,2399048.jpg,shirt,man,-29402,who is in a white shirt,white shirt,0,attribute
green,green shirt found,713622.jpg,shirt,person,29432,where is person with green shirt hanging out of jacket,green shirt,1,attribute
green,no green shirt found,2377467.jpg,shirt,person,-29432,where is person with green shirt hanging out of jacket,green shirt,0,attribute
orange,orange shirt found,713624.jpg,shirt,man,29440,how tall is man has on an orange shirt and tan pants,orange shirt,1,attribute
orange,no orange shirt found,2325179.jpg,shirt,man,-29440,how tall is man has on an orange shirt and tan pants,orange shirt,0,attribute
black,black hair found,713624.jpg,hair,man,29448,where is the man has black hair going,black hair,1,attribute
black,no black hair found,2349483.jpg,hair,man,-29448,where is the man has black hair going,black hair,0,attribute
orange,orange shirt found,713624.jpg,shirt,boy,29460,where is boy has orange shirt,orange shirt,1,attribute
orange,no orange shirt found,2397591.jpg,shirt,boy,-29460,where is boy has orange shirt,orange shirt,0,attribute
black,black dress found,713624.jpg,dress,man,29464,where is the man is dressed in a black dress hat going,black dress,1,attribute
black,no black dress found,2393009.jpg,dress,man,-29464,where is the man is dressed in a black dress hat going,black dress,0,attribute
yellow,yellow shirt found,713628.jpg,shirt,man,29468,how come man has on a yellow shirt,yellow shirt,1,attribute
yellow,no yellow shirt found,2321728.jpg,shirt,man,-29468,how come man has on a yellow shirt,yellow shirt,0,attribute
red,red hat found,713629.jpg,hat,man,29476,where is man in a red hat,red hat,1,attribute
red,no red hat found,2341671.jpg,hat,man,-29476,where is man in a red hat,red hat,0,attribute
yellow,yellow shirt found,713629.jpg,shirt,person,29484,what is the person has on a yellow shirt looking at,yellow shirt,1,attribute
yellow,no yellow shirt found,2372306.jpg,shirt,person,-29484,what is the person has on a yellow shirt looking at,yellow shirt,0,attribute
short,short hair found,713633.jpg,hair,girl,29508,how come girl in middle has short hair,short hair,1,attribute
short,no short hair found,2404353.jpg,hair,girl,-29508,how come girl in middle has short hair,short hair,0,attribute
pink,pink shirt found,713635.jpg,shirt,girl,29534,why is girl in pink shirt and blue skirt,pink shirt,1,attribute
pink,no pink shirt found,2342735.jpg,shirt,girl,-29534,why is girl in pink shirt and blue skirt,pink shirt,0,attribute
white,white hat found,713636.jpg,hat,man,29552,why is man in a white hat,white hat,1,attribute
white,no white hat found,2397197.jpg,hat,man,-29552,why is man in a white hat,white hat,0,attribute
black,black suit found,713648.jpg,suit,man,29564,how come man wearing a black suit,black suit,1,attribute
black,no black suit found,2375458.jpg,suit,man,-29564,how come man wearing a black suit,black suit,0,attribute
black,black suit found,713648.jpg,suit,man,29566,why is man dressed in a black suit,black suit,1,attribute
black,no black suit found,2351599.jpg,suit,man,-29566,why is man dressed in a black suit,black suit,0,attribute
blue,blue hat found,713650.jpg,hat,person,29570,how come person wearing blue hat,blue hat,1,attribute
blue,no blue hat found,2326295.jpg,hat,person,-29570,how come person wearing blue hat,blue hat,0,attribute
white,white jacket found,713652.jpg,coat,person,29592,what person is wearing a green and white coat,white jacket,1,attribute
white,no white jacket found,2338909.jpg,coat,person,-29592,what person is wearing a green and white coat,white jacket,0,attribute
red,red hat found,713652.jpg,hat,woman,29602,where is the woman has on a red hat going,red hat,1,attribute
red,no red hat found,2339811.jpg,hat,woman,-29602,where is the woman has on a red hat going,red hat,0,attribute
grey,gray jacket found,713655.jpg,jacket,man,29612,what type of grey jacket on man,gray jacket,1,attribute
grey,no gray jacket found,2383520.jpg,jacket,man,-29612,what type of grey jacket on man,gray jacket,0,attribute
pink,pink jacket found,713655.jpg,jacket,woman,29614,why is the pink jacket on woman,pink jacket,1,attribute
pink,no pink jacket found,2417110.jpg,jacket,woman,-29614,why is the pink jacket on woman,pink jacket,0,attribute
red,red shirt found,713658.jpg,shirt,boy,29626,where is a boy with a red shirt in the truck going,red shirt,1,attribute
red,no red shirt found,2349439.jpg,shirt,boy,-29626,where is a boy with a red shirt in the truck going,red shirt,0,attribute
white,white dress found,713665.jpg,dress,woman,29646,how tall is woman in a blue and white dress,white dress,1,attribute
white,no white dress found,2963.jpg,dress,woman,-29646,how tall is woman in a blue and white dress,white dress,0,attribute
short,short hair found,713665.jpg,hair,man,29650,why is man has short hair,short hair,1,attribute
short,no short hair found,2365638.jpg,hair,man,-29650,why is man has short hair,short hair,0,attribute
dark,dark hair found,713665.jpg,hair,woman,29652,how tall is woman has dark hair,dark hair,1,attribute
dark,no dark hair found,2315529.jpg,hair,woman,-29652,how tall is woman has dark hair,dark hair,0,attribute
white,white dress found,713665.jpg,dress,woman,29660,what is a woman is in a blue and white dress near,white dress,1,attribute
white,no white dress found,2394239.jpg,dress,woman,-29660,what is a woman is in a blue and white dress near,white dress,0,attribute
brown,brown jacket found,713667.jpg,coat,child,29672,what person is in brown coat and blue jeans,brown jacket,1,attribute
brown,no brown jacket found,2335620.jpg,coat,child,-29672,what person is in brown coat and blue jeans,brown jacket,0,attribute
brown,brown jacket found,713667.jpg,coat,child,29682,how come child dressed in brown coat,brown jacket,1,attribute
brown,no brown jacket found,2316190.jpg,coat,child,-29682,how come child dressed in brown coat,brown jacket,0,attribute
dark,dark pant found,713670.jpg,pant,person,29710,where is person dressed in dark pants,dark pant,1,attribute
dark,no dark pant found,2356892.jpg,pant,person,-29710,where is person dressed in dark pants,dark pant,0,attribute
orange,orange shirt found,713672.jpg,shirt,man,29734,why is the person in an orange shirt,orange shirt,1,attribute
orange,no orange shirt found,2327885.jpg,shirt,man,-29734,why is the person in an orange shirt,orange shirt,0,attribute
striped,striped shirt found,713677.jpg,shirt,girl,29762,why is the striped shirt on a girl,striped shirt,1,attribute
striped,no striped shirt found,2354177.jpg,shirt,girl,-29762,why is the striped shirt on a girl,striped shirt,0,attribute
blue,blue jacket found,713697.jpg,coat,person,29796,why is person dressed in blue coat,blue jacket,1,attribute
blue,no blue jacket found,2353336.jpg,coat,person,-29796,why is person dressed in blue coat,blue jacket,0,attribute
white,white pant found,713698.jpg,pant,player,29798,how come player in white pants,white pant,1,attribute
white,no white pant found,2318076.jpg,pant,player,-29798,how come player in white pants,white pant,0,attribute
black,black pant found,713699.jpg,pant,person,29810,how come person in black pants,black pant,1,attribute
black,no black pant found,2407441.jpg,pant,person,-29810,how come person in black pants,black pant,0,attribute
black,black pant found,713705.jpg,pant,woman,29834,why is woman has black pants,black pant,1,attribute
black,no black pant found,2345275.jpg,pant,woman,-29834,why is woman has black pants,black pant,0,attribute
striped,striped shirt found,713705.jpg,shirt,woman,29840,why is the person wearing a striped shirt,striped shirt,1,attribute
striped,no striped shirt found,1159967.jpg,shirt,woman,-29840,why is the person wearing a striped shirt,striped shirt,0,attribute
green,green shirt found,713707.jpg,shirt,boy,29864,why is boy dressed in green shirt,green shirt,1,attribute
green,no green shirt found,2346642.jpg,shirt,boy,-29864,why is boy dressed in green shirt,green shirt,0,attribute
green,green shirt found,713708.jpg,shirt,girl,29874,where is girl dressed in green shirt has pink bow in her hair,green shirt,1,attribute
green,no green shirt found,2351819.jpg,shirt,girl,-29874,where is girl dressed in green shirt has pink bow in her hair,green shirt,0,attribute
white,white shirt found,713709.jpg,shirt,man,29878,why is man dressed in white shirt,white shirt,1,attribute
white,no white shirt found,2416500.jpg,shirt,man,-29878,why is man dressed in white shirt,white shirt,0,attribute
black,black jacket found,713710.jpg,jacket,woman,29886,how come woman has black jacket,black jacket,1,attribute
black,no black jacket found,713282.jpg,jacket,woman,-29886,how come woman has black jacket,black jacket,0,attribute
yellow,yellow shirt found,713713.jpg,shirt,woman,29900,where is a woman wearing a yellow shirt going,yellow shirt,1,attribute
yellow,no yellow shirt found,4864.jpg,shirt,woman,-29900,where is a woman wearing a yellow shirt going,yellow shirt,0,attribute
orange,orange shirt found,713719.jpg,shirt,woman,29916,where is woman has orange shirt,orange shirt,1,attribute
orange,no orange shirt found,2326038.jpg,shirt,woman,-29916,where is woman has orange shirt,orange shirt,0,attribute
gray,gray jacket found,713719.jpg,jacket,man,29932,how tall is man with gray jacket and jeans,gray jacket,1,attribute
